status,study,task,model,method,seed,run_mode,experiment_id,variant,run_signature,train_rows,validation_rows,test_rows,epochs_requested,learning_rate,class_weighting,train_seconds,trainable_params,total_params,trainable_parameter_ratio,test_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,true_label_counts,predicted_label_counts,predicted_class_count,predicted_class_coverage,majority_prediction_rate,normalized_prediction_entropy,constant_prediction_collapse,near_constant_prediction,epochs_completed,global_step,best_validation_macro_f1
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,82,FOLLOWUP,collapse_followup_v2_pilot,higher_lr,50715bc38fe257f6e36c027f61dc7dd43b16304854640a8a5a66c9a53300f859,1024,484,484,2,0.00050000000000000001,none,15.858050666982308,1782531,125837571,0.0141653322281625,0.91713559627532959,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,42,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,ffda32c71fdcb41ee1bd4d13dc7edf9f2fc18ff3069e290f4683a8d0f0e90105,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,37.487419624987517,1782531,125837571,0.0141653322281625,0.44457811117172241,0.80991735537190035,0.80049696504470702,0.78205807200929145,0.82862933258069305,"[61, 287, 136]","[70, 250, 164]",3,1,0.51652892561983454,0.89893853944859403,False,False,5,80,0.76644793818837831
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,52,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,54f13c4906c8b6757d3d891db0ad355903d9f9dded7a5be946ebd73bbe73e390,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,37.844474332989193,1782531,125837571,0.0141653322281625,0.4584954679012298,0.79958677685950375,0.79819993571198955,0.77512984878369495,0.83745521399283385,"[61, 287, 136]","[75, 240, 169]",3,1,0.49586776859504123,0.91402172556673922,False,False,5,80,0.75023294263361495
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,62,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,acacd61bda53bcafb802b3d6abca534cc3482363b910c80a3ce8824626422742,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,37.110999124997761,1782531,125837571,0.0141653322281625,0.4370819628238678,0.80371900826446285,0.80182188446293612,0.78673796094170345,0.82557943209270912,"[61, 287, 136]","[67, 251, 166]",3,1,0.51859504132231404,0.89319298247500045,False,False,5,80,0.77976417245155805
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,72,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,73f1d170186a26fa0b806b35f508e707afb298165c6efabf45dd0fcaf153ca75,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,36.660800833022222,1782531,125837571,0.0141653322281625,0.44248583912849421,0.8223140495867769,0.81426814196954245,0.79808517156862735,0.83732193397150945,"[61, 287, 136]","[68, 256, 160]",3,1,0.52892561983471065,0.89069792255691005,False,False,5,80,0.77990944371844961
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,82,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,7adaf08adb23942a8acddb14d4ab008c90cfc2d3bbe03e5657aaeb7ffcef51a9,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,36.761571082985029,1782531,125837571,0.0141653322281625,0.45228037238121033,0.81198347107437985,0.80522643855977183,0.78593219395423874,0.833238693318191,"[61, 287, 136]","[71, 253, 160]",3,1,0.52272727272727271,0.89802147007413202,False,False,5,80,0.75698687625242245
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,893efe9c1bbebc53bc2118f573efeb93a1c7278e9a20ec2dc16fc3198420ecc1,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,46.62693454202963,695043,124647939,0.0055760488747431001,0.54227274656295765,0.76446280991735505,0.74294485881611294,0.73925578848852513,0.750627200100352,"[61, 287, 136]","[69, 296, 119]",3,1,0.61157024793388415,0.84049243150880204,False,False,5,80,0.70544453826187581
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,bf4cbfde7535d8b18bf471cb199108d920332fb9f809f387846a20d7beb0bda2,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,46.32829395798035,695043,124647939,0.0055760488747431001,0.75725471973419145,0.71487603305785075,0.6636862335511613,0.70176405010164555,0.64490464318474283,"[61, 287, 136]","[52, 340, 92]",3,1,0.7024793388429752,0.73123497003542925,False,False,5,80,0.68588482224845815
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,387dfaf7cfb30d9c07701ee9cb15e09df5e5d6525d8553fdd2bfee947c5bb99f,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,46.072051334020216,695043,124647939,0.0055760488747431001,0.52242851257324185,0.77685950413223115,0.76881613380361813,0.75453868179701844,0.78641386582621842,"[61, 287, 136]","[71, 277, 136]",3,1,0.5723140495867769,0.87169493952772115,False,False,5,80,0.7179882586037446
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,5ff107cc7dee69991b362e34f9f581dd814dae999f941d2530c2807aba61912e,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,46.778941249998752,695043,124647939,0.0055760488747431001,0.47039216756820662,0.80165289256198335,0.79051359437853375,0.77718582340553055,0.80636442901830863,"[61, 287, 136]","[69, 274, 141]",3,1,0.56611570247933884,0.87300875030359415,False,False,5,80,0.75041100136534311
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,7d8f683054b351a61312fef7fd4e1678d87bbeb01d9fbaaa85f58ae5d696b92c,1024,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,46.43897062499309,695043,124647939,0.0055760488747431001,0.60156530141830444,0.74380165289256195,0.71027913609751681,0.72487975329691723,0.71322199411551912,"[61, 287, 136]","[68, 324, 92]",3,1,0.66942148760330555,0.78280032366538455,False,False,5,80,0.68109070597432841
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,92d68e6d604439313c3fb2f46647976e774af9dbd99afdab613274ff5df9584b,1024,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,34.85268112499034,695812,124648708,0.0055821838121257001,0.81916499137878385,0.73187895847994355,0.67718501520891583,0.69825723283718555,0.66468966805680663,"[558, 358, 123, 382]","[623, 350, 87, 361]",4,1,0.43842364532019701,0.88418930353399505,False,False,5,80,0.66203451666559454
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_pilot,higher_lr_weighted,e95ed5eb494bcd1787a794e8d49ba5b49e71a321231626ad4b590b0f6f45d1b0,1024,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,35.075517499994021,695812,124648708,0.0055821838121257001,0.7522091269493103,0.7480647431386348,0.7062275912266831,0.71777006584428005,0.69769288940876173,"[558, 358, 123, 382]","[588, 361, 101, 371]",4,1,0.4137931034482758,0.90296134926449356,False,False,5,80,0.65890953782450135
