status,study,task,model,method,seed,run_mode,experiment_id,variant,run_signature,train_rows,validation_rows,test_rows,epochs_requested,learning_rate,class_weighting,trainer_device,train_seconds,trainable_params,total_params,trainable_parameter_ratio,test_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,true_label_counts,predicted_label_counts,predicted_class_count,predicted_class_coverage,majority_prediction_rate,normalized_prediction_entropy,constant_prediction_collapse,near_constant_prediction,epochs_completed,global_step,best_validation_macro_f1
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,42,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,9a554cda39f37d97909dee177b814c19e262b75b023bae24a6a1620120511f72,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,119.2445338749676,1782531,125837571,0.0141653322281625,0.34519502520561213,0.86363636363636365,0.85450521130908375,0.82948902921590595,0.89109272257483563,"[61, 287, 136]","[76, 253, 155]",3,1,0.52272727272727271,0.90518951883338605,False,False,5,305,0.83716522580255115
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,52,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,2cc6780311cfb47b3922a95bb151968e49d1ae72da334839ffea5ccb026a9a58,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,94.743350333999842,1782531,125837571,0.0141653322281625,0.35087874531745911,0.86570247933884292,0.84725035435306495,0.85085944187639095,0.84752723560435772,"[61, 287, 136]","[66, 300, 118]",3,1,0.6198347107438017,0.83037956447199213,False,False,4,244,0.84478780853533775
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,62,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,fbb410c6817972919852cffd4bd835dd371434f5872bbe07e2fe52885c43538f,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,118.36854975001188,1782531,125837571,0.0141653322281625,0.35358512401580811,0.84710743801652855,0.84382807309815255,0.83019329388560115,0.86716811874689892,"[61, 287, 136]","[65, 250, 169]",3,1,0.51652892561983454,0.89044680813881405,False,False,5,305,0.84185564475899255
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,72,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,f2abc5be0a13ae2612003fd5fb33fd40aec75bbd2ed38eeef8d027824628f0d4,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,120.30059345898916,1782531,125837571,0.0141653322281625,0.36086782813072182,0.85330578512396693,0.83758405102946465,0.81696080689095285,0.86549427847908444,"[61, 287, 136]","[73, 260, 151]",3,1,0.53719008264462775,0.89432710944815574,False,False,5,305,0.84569827124114305
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,82,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,a5ae1b47d7a57ac1256007fdb0a2ea7dd745c236c563343d4bcd24450d1d162b,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,119.15130204200976,1782531,125837571,0.0141653322281625,0.35927078127861012,0.86363636363636365,0.85965612142982162,0.84600878281363612,0.87947314071570215,"[61, 287, 136]","[65, 258, 161]",3,1,0.53305785123966942,0.88395559246535005,False,False,5,305,0.85305668508671295
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,abaa37933a47611565ef49781159ad1541717501c8c6d9be163df3750ced5505,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,156.59071912500076,695043,124647939,0.0055760488747431001,0.36221608519554133,0.8326446280991735,0.82790758651101515,0.80879523406995935,0.8594724575155932,"[61, 287, 136]","[70, 245, 169]",3,1,0.50619834710743805,0.90266634375278276,False,False,5,305,0.80130656502030095
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,f1a1e218e7106931c4610c3d7cb5c4dcfa20dbd9a2b4a8c260365a5abf1b24e2,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,157.74668879201636,695043,124647939,0.0055760488747431001,0.34402516484260542,0.8450413223140496,0.8396736170723379,0.81717723705317402,0.87246809959489591,"[61, 287, 136]","[73, 252, 159]",3,1,0.52066115702479343,0.90187716999024359,False,False,5,305,0.82513154630560515
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,fd14b9aac494eb1c31fb6eb24a3a38c3dc2101f7794935b7c3422795d0f0f943,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,127.5811400829698,695043,124647939,0.0055760488747431001,0.36805769801139832,0.86157024793388415,0.84746053606959915,0.84247382251869785,0.85509997681599625,"[61, 287, 136]","[68, 291, 125]",3,1,0.60123966942148765,0.84766269266211225,False,False,4,244,0.82404477839082335
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,fc824c1cd305036246c239edb0f0d08e97b498b66b72ad2e35d58ca520b243c3,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,157.41940616699867,695043,124647939,0.0055760488747431001,0.36413300037384022,0.83884297520661155,0.83020635701403034,0.80901593962176155,0.86295677807308435,"[61, 287, 136]","[72, 248, 164]",3,1,0.51239669421487555,0.90365825544968359,False,False,5,305,0.81752633559223575
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,567728bfd96f22d853debb089c5ecfdbf28bf42fa8ce796b0d22ed38d368a3d7,3872,484,484,5,0.00050000000000000001,inverse_sqrt_frequency,mps,125.7944945420022,695043,124647939,0.0055760488747431001,0.38885051012039162,0.84710743801652855,0.82860750317773701,0.83706093189964115,0.82158607145377105,"[61, 287, 136]","[60, 300, 124]",3,1,0.6198347107438017,0.82301191287980136,False,False,4,244,0.82104122196288065
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,ed4a30270478b1a45647c033fdba5c5909c6d9b469c936d81a3c5b318dc95701,3257,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,mps,99.752986834035255,695812,124648708,0.0055821838121257001,0.58855217695236195,0.80154820548909222,0.76383596092138495,0.7658120386713736,0.7630674592520259,"[558, 358, 123, 382]","[533, 384, 114, 390]",4,1,0.37508796622097113,0.92236108729039323,False,False,5,255,0.69811146270537106
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,a5cbc5ca35e49811854aa0a4a082916977cf7c49cf5cc24f38e38dbc5c00f1a4,3257,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,mps,100.01798891701036,695812,124648708,0.0055821838121257001,0.57049590349197365,0.81421534130893725,0.77312856266483032,0.78401199761581053,0.76500834961758513,"[558, 358, 123, 382]","[577, 371, 103, 370]",4,1,0.4060520760028149,0.90685965892270315,False,False,5,255,0.71602268655947165
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,de6347ea1ad23949b7e4853d48d00dcf572c2d490c59cabc09611408877ce4d4,3257,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,mps,103.09061549999753,695812,124648708,0.0055821838121257001,0.57099640369415283,0.80225193525686134,0.76647887459921682,0.76729302444375203,0.76568618112777465,"[558, 358, 123, 382]","[563, 355, 122, 381]",4,1,0.39619985925404633,0.92118699920338443,False,False,5,255,0.7124904370843792
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,3bf5aeda6657040271168e2e9f08647fb87227bb94d7df448047d16703c3cdac,3257,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,mps,101.12627633300144,695812,124648708,0.0055821838121257001,0.58712738752365112,0.79451090781140044,0.75895305116415335,0.75562233637805265,0.76319393814850933,"[558, 358, 123, 382]","[533, 385, 128, 375]",4,1,0.37508796622097113,0.93054149018841037,False,False,5,255,0.74005128904686235
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,61064a2346cd6ae51557cd7a552ec58495ea090ff30a1ff571353fe33b2be89a,3257,374,1421,5,0.00050000000000000001,inverse_sqrt_frequency,mps,101.3232090829988,695812,124648708,0.0055821838121257001,0.57689744234085083,0.79802955665024633,0.76054644106535774,0.76152349151022325,0.7598779275034262,"[558, 358, 123, 382]","[547, 371, 118, 385]",4,1,0.38494018296973942,0.92227914561797164,False,False,5,255,0.72217423528004732
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,42,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,eaf608632cc8a6ee0e036e39ec38629da8f19705f804a3da0de393fb2b5b214a,3257,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,mps,77.54940916702617,888580,135791624,0.0065437025777082001,0.5580819845199585,0.82125263898662915,0.78467959550646871,0.78655329428637955,0.78310101073141924,"[558, 358, 123, 382]","[550, 363, 117, 391]",4,1,0.38705137227304692,0.92091952044563286,False,False,5,255,0.70328747281047832
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,52,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,5139f761bbe61b553a9a33e947425bbdc424e41c6df75d787d085ab08413441b,3257,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,mps,77.590632375038695,888580,135791624,0.0065437025777082001,0.55638861656188965,0.81069669247009135,0.77918245861385615,0.77707195803468143,0.78147498974086305,"[558, 358, 123, 382]","[547, 356, 127, 391]",4,1,0.38494018296973942,0.92705023177522317,False,False,5,255,0.71255242671643604
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,62,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,dc23cda469db5e8bf8aee3cdab40da72ecf051ee8ae11ed8546742e05fe47d1b,3257,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,mps,76.892635458032615,888580,135791624,0.0065437025777082001,0.56589603424072255,0.81491907107670625,0.7828022580117987,0.78583464541214665,0.78052954229062665,"[558, 358, 123, 382]","[543, 359, 115, 404]",4,1,0.38212526389866291,0.92060498274223035,False,False,5,255,0.71730767329467504
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,72,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,c716286479c14182db7f8ec486ac1d4b5955adc59d6de4ee47b6318383b47d40,3257,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,mps,77.270340542017948,888580,135791624,0.0065437025777082001,0.55380600690841675,0.81843771991555225,0.78934977540662532,0.78688367924715641,0.79202634021950014,"[558, 358, 123, 382]","[544, 359, 127, 391]",4,1,0.38282899366643203,0.92769376277765325,False,False,5,255,0.71047316155857865
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,82,FOLLOWUP,collapse_followup_v2_full,higher_lr_weighted,9958a8e4bcdb949e1b185bfe770c31c873c226f9ae5a599368052bc0ac1aae25,3257,374,1421,5,0.00029999999999990001,inverse_sqrt_frequency,mps,77.114228582999203,888580,135791624,0.0065437025777082001,0.56095904111862183,0.81280788177339902,0.78387753936208493,0.78702604918004482,0.78231559377212334,"[558, 358, 123, 382]","[526, 377, 113, 405]",4,1,0.37016185784658662,0.92258878710182324,False,False,5,255,0.71476668019375822
